Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A
15/08/25,Girona,Rayo Vallecano,1,3,,,
15/08/25,Villarreal,Oviedo,2,0,,,
16/08/25,Barcelona,Mallorca,3,0,,,
16/08/2025,Barcelona,Mallorca,3,0,,,
16/08/2025,Levante,Alavés,1,2,,,
16/08/2025,Real Sociedad,Valencia,1,1,,,
15/08/2025,Girona,Rayo Vallecano,1,3,,,
15/08/2025,Villarreal,Oviedo,2,0,,,
16/08/2025,Mallorca,Barcelona,0,3,,,
16/08/2025,Alavés,Levante,2,1,,,
16/08/2025,Valencia,Real Sociedad,1,1,,,
17/08/2025,Celta Vigo,Getafe,0,2,,,
17/08/2025,Athletic Bilbao,Sevilla,3,2,,,
17/08/2025,Espanyol,Atlético Madrid,2,1,,,
18/08/2025,Real Betis,Elche CF,1,1,,,
23/08/2025,Mallorca,Celta Vigo,1,1,,,
23/08/2025,Atlético Madrid,Elche CF,1,1,,,
23/08/2025,Levante,Barcelona,2,3,,,
24/08/2025,CA Osasuna,Valencia,1,0,,,
24/08/2025,Villarreal,Girona,5,0,,,
24/08/2025,Real Sociedad,Espanyol,2,2,,,
24/08/2025,Oviedo,Real Madrid,0,3,,,
25/08/2025,Rayo Vallecano,Athletic Bilbao,0,1,,,
25/08/2025,Getafe,Sevilla,2,1,,,
